Site ID,Zone,Quadrat #,Grazing,Year,AcmAm,AirCa,AloSa,AveFa,BarGr,BleNa,BriMi,BroEl,BroMi,BroDi,BroHo,CasAt,CasCa,CenSp,ChlPo,CinQu,CotCo,CroSe,DesDa,DowBi,DowCu,DowOr,EleAr,EleMa,ElyCa ,EroBo,EryCa,EscLo,FesBr,FesPe,GerDi,GlyDe,GraEb,HolVi,HorMa,HypRa,JunBa,JunBu,JunCa,JunPa,LasFr,LasGl,LayFr,LeoSa,LupBi,LytHy,NavLe,NavMe,PilAm,PlaSt,PlaGr,PogZi,PsiBre,RanBo ,TriDe,TriDu,TriEr,TriHi,TriHy,TriLa,TriVa
C2-10,Pool,1,Grazed,2017,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,96,0,28,0,0,39,0,0,0,0,0,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,7,83,0,0,0,0,0,0,3,0
C2-10,Pool,2,Grazed,2017,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,48,2,0,23,0,0,48,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,8,70,0,0,0,0,0,0,2,0
C2-10,Pool,3,Grazed,2017,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,23,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,90,0,2,61,0,0,0,0,0,0,0,0
C2-10,Transition,1,Grazed,2017,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,73,90,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
C2-10,Transition,2,Grazed,2017,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,54,70,0,9,0,0,0,4,0,66,0,0,0,0,0,0,0,0,0
C2-10,Transition,3,Grazed,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,5,0,0,4,0,0,10,0,0,0,0,0,0,0,36,0,12,50,0,30,0,0,0,3,0,0,35,3,36,0,0,0,0,0,0
C2-10,Upland,1,Grazed,2017,0,0,0,30,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,50,4,98,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
C2-10,Upland,2,Grazed,2017,0,0,0,26,0,0,0,0,1,0,35,0,0,4,0,0,0,0,0,0,0,0,0,0,83,2,100,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
C2-10,Upland,3,Grazed,2017,0,0,0,100,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0
C2-11,Pool,1,Grazed,2015,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,28,53,0,0,0,0,0,0,0,0
